ID,HinhAnh,HangXe,DongXe,NamSX,XuatXu,KieuDang,SoKm,NgoaiThat,NoiThat,NhienLieu,DongCo,HopSo,DanDong,Gia
2790,https://s.bonbanh.com/uploads/users/666061/car/4617658/m_1664850820.365.jpg,Mitsubishi,Xpander,2019,Nhập khẩu,SUV,40000,Đen,Nhiều màu,Xăng,1.5,Số tay,FWD - Dẫn động cầu trước,465000000
2791,https://s.bonbanh.com/uploads/users/659379/car/4599418/m_1663904223.501.jpg,Toyota,Corolla Cross,2020,Nhập khẩu,SUV,20000,Đỏ,Đen,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,875000000
2792,https://s.bonbanh.com/uploads/users/394275/car/4570214/m_1662457214.117.jpg,VinFast,Lux SA 2.0,2021,Lắp ráp trong nước,SUV,20000,Xám,Nâu,Xăng,2,Số tự động,AWD - 4 bánh toàn thời gian,1095000000
2793,https://s.bonbanh.com/uploads/users/666061/car/4609257/m_1664417960.876.jpg,Mitsubishi,Attrage,2021,Nhập khẩu,Sedan,7000,Trắng,Đen,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,460000000
2794,https://s.bonbanh.com/uploads/users/640881/car/4439088/m_1655447915.jpg,Ford,Ranger,2020,Nhập khẩu,Bán tải / Pickup,13000,Xanh,Đen,Dầu,2,Số tự động,4WD - Dẫn động 4 bánh,1285000000
2795,https://s.bonbanh.com/uploads/users/250522/car/4314043/m_1660104229.jpg,Kia,Forte,2009,Nhập khẩu,Sedan,115689,Xám,Đen,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,295000000
2796,https://s.bonbanh.com/uploads/users/21277/car/4617558/m_1664848195.802.jpg,Ford,Ranger,2021,Nhập khẩu,Bán tải / Pickup,19000,Trắng,Đen,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,725000000
2797,https://s.bonbanh.com/uploads/users/62587/car/4509173/m_1659147343.505.jpeg,Mazda,CX5,2020,Lắp ráp trong nước,SUV,33000,Xanh,Đen,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,856000000
2798,https://s.bonbanh.com/uploads/users/167470/car/4524666/m_1659963838.212.jpeg,Ford,Ranger,2017,Nhập khẩu,Bán tải / Pickup,80000,Cát,Nhiều màu,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,570000000
2799,https://s.bonbanh.com/uploads/users/140103/car/4484664/m_1657858837.717.jpg,Chevrolet,Captiva,2016,Lắp ráp trong nước,SUV,100000,Trắng,Đen,Xăng,2.4,Số tự động,FWD - Dẫn động cầu trước,545000000
2800,https://s.bonbanh.com/uploads/users/106098/car/4617917/m_1664856473.457.jpeg,Mazda,CX5,2019,Lắp ráp trong nước,SUV,39000,Trắng,Nâu,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,776000000
2801,https://s.bonbanh.com/uploads/users/250522/car/4614981/m_1664705649.223.jpeg,Mazda,CX5,2015,Lắp ráp trong nước,SUV,78999,Đen,Đen,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,575000000
2802,https://s.bonbanh.com/uploads/users/102259/car/4347338/m_1650681581.180.jpeg,Mercedes Benz,E class,2013,Lắp ráp trong nước,Sedan,89000,Trắng,Nâu,Xăng,3,Số tự động,RFD - Dẫn động cầu sau,989000000
2803,https://s.bonbanh.com/uploads/users/76401/car/4362710/m_1651549351.876.jpeg,Ford,Everest,2019,Nhập khẩu,SUV,46388,Trắng,Đen,Dầu,2,Số tự động,RFD - Dẫn động cầu sau,1079000000
2804,https://s.bonbanh.com/uploads/users/655713/car/4524441/m_1659953599.105.jpg,Hyundai,i10,2021,Lắp ráp trong nước,Hatchback,16000,Trắng,Nhiều màu,Xăng,1.25,Số tay,FWD - Dẫn động cầu trước,345000000
2805,https://s.bonbanh.com/uploads/users/577577/car/4608196/m_1664350199.335.jpeg,Mercedes Benz,C class,2019,Lắp ráp trong nước,Sedan,31000,Đỏ,Đen,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1589000000
2806,https://s.bonbanh.com/uploads/users/49742/car/4592259/m_1663568025.499.jpeg,Honda,CRV,2022,Lắp ráp trong nước,SUV,4000,Xanh,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,1089000000
2807,https://s.bonbanh.com/uploads/users/474650/car/4609838/m_1664435195.852.jpg,Toyota,Wigo,2019,Nhập khẩu,Hatchback,40000,Đen,Đen,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,345000000
2808,https://s.bonbanh.com/uploads/users/250522/car/4613391/m_1664791411.jpeg,Hyundai,i10,2019,Lắp ráp trong nước,Sedan,65899,Trắng,Kem,Xăng,1.25,Số tay,FWD - Dẫn động cầu trước,315000000
